ID,Exercise,Reps,Load,Weight_Used,Good,Timestamp
1,S,4,6,75,y,general
2,B,5,6,49,y,general
3,D,3,7,100,y,general
4,S,4,7,82.5,y,general
5,B,5,7,51.5,y,general
6,D,3,8,110,y,general
7,S,4,8,87.5,y,general
8,B,5,7,51,y,general
9,D,3,9,115,y,general
10,S,4,9,90,y,general
11,B,5,8,52,y,general
12,D,3,9,120,y,general
13,S,3,6,75,y,general
14,B,4,6,45,y,general
15,D,2,6,90,y,general
16,S,3,6,75,y,general
17,B,4,6,45,y,general
18,D,2,6,90,y,general
19,S,3,7,90,y,strength
20,B,4,7,53,y,strength
21,D,2,7,110,y,strength
22,S,3,8,95,n,strength
23,B,4,8,55,n,strength
24,D,2,9,121,y,strength
25,S,2,5,70,y,strength
26,B,3,5,47.5,y,strength
27,D,1,6,110,y,strength
28,S,2,6,87.5,y,strength
29,B,3,6,52.5,y,strength
30,D,1,7,115,y,strength
31,S,2,7,92.5,y,strength
32,B,3,7,56,y,strength
33,D,1,8,121,y,strength
34,S,2,8,100.5,y,strength
35,B,3,8,58,y,strength
36,D,1,9,127.5,y,strength
37,S,1,5,85,y,strength
38,B,1,5,50,y,strength
39,D,1,5,90,y,strength
40,S,1,6,90,y,strength
41,B,1,6,53,y,strength
42,D,1,6,95,y,strength
43,S,1,7,100,y,strength
44,B,1,7,60,y,strength
45,D,1,7,110,y,strength
46,S,1,8,102.5,y,strength
47,B,1,8,62.5,y,strength
48,D,1,8,135,y,strength
49,S,1,9,110,y,strength
50,B,1,9,65,y,strength
51,D,1,9,138,n,strength
52,S,4,6,90,y,prep
53,B,5,6,55,y,prep
54,D,3,6,100,y,prep
55,S,4,7,92.5,y,prep
56,B,5,7,55,y,prep
57,D,3,8,110,y,prep
58,S,4,8,95,y,prep
59,B,5,8,56,y,prep
60,D,3,9,120,y,prep
61,S,2,6,96,y,prep
62,B,3,6,52.5,y,prep
63,D,1,7,135,y,prep
64,S,2,7,100,y,prep
65,B,3,7,56,y,prep
66,D,1,7,110,y,prep
67,S,2,8,110,y,prep
68,B,3,8,57.5,y,prep
69,D,,,,y,prep
70,S,1,6,101,y,prep
71,B,1,5,58,y,prep
72,D,1,6,110,y,prep
73,S,1,7,115,n,prep
74,B,1,7,60,y,prep
75,D,1,7,120,y,prep
76,S,1,8,112.5,y,prep
77,B,1,8,62.5,y,prep
78,D,1,8,100,y,prep
79,S,1,7,105,y,prep
80,B,1,6,52.5,y,prep
81,D,1,7,110,y,prep
82,S,1,6,95,y,prep
83,B,1,7,57.5,y,prep
84,D,1,8,120,y,prep
85,S,1,8,115,y,prep
86,B,1,8,60,n,prep
87,D,1,9,130,y,prep